"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"C111,C103,C109";"C_0805_2012Metric";3;"22u";;;
2;"U501";"VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm";1;"TCA9548APWR";;;
3;"J501,J503,J502,J504";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";4;"Conn_01x04";;;
4;"C204,C203,C412,C413,C102,C107,C415,C414,C411,C104,C405,C301";"C_0402_1005Metric";12;"100n";;;
5;"C416,C410";"C_0402_1005Metric";2;"4u7";;;
6;"J403";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"UART";;;
7;"R107";"R_0402_1005Metric";1;"40.2k";;;
8;"R701";"R_0402_1005Metric";1;"330";;;
9;"D701";"LED_0603_1608Metric";1;"LED";;;
10;"L1";"L_0603_1608Metric";1;"39n";;;
11;"C108";"C_0402_1005Metric";1;"15p";;;
12;"R101,R102,R3,R1,R2";"R_0402_1005Metric";5;"100k";;;
13;"C105,C101";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"1u";;;
14;"BU33SD5WG-TR101";"SOT-23-5";1;"LM1117DT-3.3";;;
15;"L101";"L_APV_ANR5020";1;"4u7";;;
16;"U202,U602";"SC70-6";2;"NCS199A3RSQT2G";;;
17;"C404";"C_0402_1005Metric";1;"10n";;;
18;"R104";"R_0402_1005Metric";1;"20";;;
19;"J402";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"USB_C_Receptacle_USB2.0_16P";;;
20;"J401";"PinHeader_2x07_P1.27mm_Vertical_SMD";1;"Conn_ST_STDC14";;;
21;"U101";"TSOT-23-8";1;"MP1475SGJ-P";;;
22;"D103,D401,D101";"D_SOD-128";3;"RB081LAM-20";;;
23;"R103";"R_0402_1005Metric";1;"1k";;;
24;"R502,R511,R509,R508,R510,R506,R504,R501,R507,R503,R505";"R_0402_1005Metric";11;"4k7";;;
25;"D102";"LED_0603_1608Metric";1;"GR";;;
26;"U402";"SOT-23-6";1;"USBLC6-2SC6";;;
27;"R106";"R_0402_1005Metric";1;"7.68k";;;
28;"BT101";"JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical";1;"Battery";;;
29;"J201,J601";"JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical";2;"Conn_01x06_Socket";;;
30;"R105";"R_0402_1005Metric";1;"16k";;;
31;"C402";"C_0402_1005Metric";1;"12p";;;
32;"U601,U201";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";2;"ZXBM5210-SP-13";;;
33;"C302,C602,C201,C601,C202";"C_0603_1608Metric";5;"1u";;;
34;"Y401";"SMD 3225";1;"MCSJK-7U-16.00-10-30-80-B-30";;;
35;"R204,R203";"R_0805_2012Metric";2;"10m";;;
36;"U701";"BM71BLES1FC2_MCH";1;"BM71BLES1FC2-0B04AA";;;
37;"R403,R402";"R_0402_1005Metric";2;"5k1";;;
38;"C403";"C_0402_1005Metric";1;"10p";;;
39;"U301";"LGA_CC-14-1_ADI";1;"ADXL343BCCZ-RL";;;
40;"U401";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32G431CBUx";;;
41;"C701";"C_0805_2012Metric";1;"10u";;;
42;"R301";"R_0402_1005Metric";1;"10k";;;
43;"F101";"2920L300";1;"2920L300";;;
